study,t1,t2,e.events,e.total,c.events,c.total
REMAP-CAP_1_NCT02735707,"tocilizumab, steroids",1_standard care/placebo,62,214,48,138
REMAP-CAP_1_NCT02735707,"sarilumab, steroids",tocilizumab,8,41,33,127
REMAP-CAP_1_NCT02735707,"sarilumab, steroids",sarilumab,8,41,2,4
REMAP-CAP_1_NCT02735707,"sarilumab, steroids",steroids,8,41,90,248
REMAP-CAP_1_NCT02735707,"sarilumab, steroids",1_standard care/placebo,8,41,48,138
REMAP-CAP_1_NCT02735707,tocilizumab,sarilumab,33,127,2,4
REMAP-CAP_1_NCT02735707,tocilizumab,steroids,33,127,90,248
REMAP-CAP_1_NCT02735707,tocilizumab,1_standard care/placebo,33,127,48,138
REMAP-CAP_1_NCT02735707,sarilumab,steroids,2,4,90,248
REMAP-CAP_1_NCT02735707,sarilumab,1_standard care/placebo,2,4,48,138
REMAP-CAP_1_NCT02735707,steroids,1_standard care/placebo,90,248,48,138
REMAP-CAP_2_NCT02735707,"tocilizumab, steroids","sarilumab, steroids",208,564,134,398
REMDACTA_NCT04409262,"tocilizumab, steroids",tocilizumab,69,358,9,72
REMDACTA_NCT04409262,"tocilizumab, steroids",steroids,69,358,39,181
REMDACTA_NCT04409262,"tocilizumab, steroids",1_standard care/placebo,69,358,2,29
REMDACTA_NCT04409262,tocilizumab,steroids,9,72,39,181
REMDACTA_NCT04409262,tocilizumab,1_standard care/placebo,9,72,2,29
REMDACTA_NCT04409262,steroids,1_standard care/placebo,39,181,2,29
SARCOVID_NCT04357808,"sarilumab, steroids",sarilumab,1,17,1,3
SARCOVID_NCT04357808,"sarilumab, steroids",steroids,1,17,0,8
SARCOVID_NCT04357808,"sarilumab, steroids",1_standard care/placebo,1,17,0,2
SARCOVID_NCT04357808,sarilumab,steroids,1,3,0,8
SARCOVID_NCT04357808,sarilumab,1_standard care/placebo,1,3,0,2
SARCOVID_NCT04357808,steroids,1_standard care/placebo,0,8,0,2
SARICOR_EudraCT2020-001531-27,"sarilumab, steroids",sarilumab,1,47,1,6
SARICOR_EudraCT2020-001531-27,"sarilumab, steroids",steroids,1,47,2,25
SARICOR_EudraCT2020-001531-27,"sarilumab, steroids",1_standard care/placebo,1,47,1,1
SARICOR_EudraCT2020-001531-27,sarilumab,steroids,1,6,2,25
SARICOR_EudraCT2020-001531-27,sarilumab,1_standard care/placebo,1,6,1,1
SARICOR_EudraCT2020-001531-27,steroids,1_standard care/placebo,2,25,1,1
SARTRE_EudraCT2020-002037-15,"sarilumab, steroids",sarilumab,2,70,0,0
SARTRE_EudraCT2020-002037-15,"sarilumab, steroids",steroids,2,70,1,70
SARTRE_EudraCT2020-002037-15,"sarilumab, steroids",1_standard care/placebo,2,70,0,0
SARTRE_EudraCT2020-002037-15,sarilumab,steroids,0,0,1,70
SARTRE_EudraCT2020-002037-15,sarilumab,1_standard care/placebo,0,0,0,0
SARTRE_EudraCT2020-002037-15,steroids,1_standard care/placebo,1,70,0,0
Sterne_1,steroids,1_standard care/placebo,2,7,2,12
Sterne_2,steroids,1_standard care/placebo,6,15,2,14
Sterne_3,steroids,1_standard care/placebo,13,24,13,23
TOCIBRAS_NCT04403685,"tocilizumab, steroids",tocilizumab,8,31,6,34
TOCIBRAS_NCT04403685,"tocilizumab, steroids",steroids,8,31,5,34
TOCIBRAS_NCT04403685,"tocilizumab, steroids",1_standard care/placebo,8,31,1,30
TOCIBRAS_NCT04403685,tocilizumab,steroids,6,34,5,34
TOCIBRAS_NCT04403685,tocilizumab,1_standard care/placebo,6,34,1,30
TOCIBRAS_NCT04403685,steroids,1_standard care/placebo,5,34,1,30
Tang_2,steroids,1_standard care/placebo,0,43,1,43
Tomazini,steroids,1_standard care/placebo,85,151,91,148
